iter,xu,proposed
1,0.9506063461303711,0.5227689743041992
2,1.6752362251281738,1.0232863426208496
3,2.4516448974609375,1.5331683158874512
4,3.21744441986084,2.0303406715393066
5,4.011979103088379,2.5455124378204346
6,5.181613922119141,3.0960147380828857
7,5.796689510345459,3.5992655754089355
8,6.618597745895386,4.152423620223999
9,7.513551950454712,4.690846920013428
10,8.293178081512451,5.248173475265503
11,8.792197227478027,5.5901830196380615
12,9.747030973434448,6.070401906967163
13,10.493942022323608,6.576561212539673
14,11.333662748336792,7.24189019203186
15,12.097063302993774,7.656838655471802
16,13.08022403717041,8.27168869972229
17,13.579753875732422,8.576445579528809
18,14.647956609725952,9.38877558708191
19,14.965711832046509,9.755707025527954
20,15.853304862976074,10.199160814285278
